uf,cep,cnpj,pais,email,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,codigo_pais,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,opcao_pelo_mei,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,data_opcao_pelo_mei,data_exclusao_do_mei,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_opcao_pelo_simples,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,data_exclusao_do_simples,motivo_situacao_cadastral,ente_federativo_responsavel,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial
MG,39680000,13940760000392,,,MICRO EMPRESA,CENTRO,464,3337361246,CAPELINHA,DOUTOR HERMELINDO,3299003,,LETRA: A;,1,EMPLACAR LTDA,,40000,3337371758,,False,,4245,Sociedade Empresária Limitada,,False,2,,,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",3112307,2012-05-09,,2011-07-06,2012-05-09,,2062,2022-12-31,0,,2,49,ATIVA,RUA,SEM MOTIVO,FILIAL
MG,39680000,13282532000100,,,EMPRESA DE PEQUENO PORTE,PLANALTO,484,3335164216,CAPELINHA,MANOEL DE SOUZA,4645103,,,3,"DENTALCAP PRODUTOS MEDICOS, HOSPITALARES E ODONTOLOGICOS LTDA",PRODOCTOR,100000,3388228890,3335161151,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio atacadista de produtos odontológicos,3112307,2011-02-21,,2013-01-01,2011-02-21,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,20451144000171,,,MICRO EMPRESA,LETRA A,547,3335164216,CAPELINHA,RAUL COELHO,7312200,,,1,VISIONLED PUBLICIDADE LTDA,VISIONLED,100000,3398050474,,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",3112307,2014-06-16,,2014-06-16,2014-06-16,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,22141469000183,,,DEMAIS,PLANALTO,1213,,CAPELINHA,RIO BRANCO,4683400,,CASA,5,TRES VALES AGROPECUARIA LTDA,,1000000,,,,,4245,Sociedade Empresária Limitada,,,2,,,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",3112307,1986-07-01,,,2005-11-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,32024841000125,,,EMPRESA DE PEQUENO PORTE,MARIA LUCIA,1366,,CAPELINHA,MG 120,4530703,,,3,BR PECAS DIESEL LTDA,BR DIESEL,300000,3335162990,3335163897,False,,4245,Sociedade Empresária Limitada,,False,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3112307,2018-11-14,,2018-11-14,2018-11-14,,2062,2023-08-31,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,30160031,33530486013883,,,DEMAIS,,1000,,BELO HORIZONTE,ESPIRITO SANTO,6190699,,,5,EMPRESA BRASILEIRA DE TELECOMUNICACOES S A EMBRATEL,,3440781800,,,,,4123,Sociedade Anônima Fechada,,,8,,,Outras atividades de telecomunicações não especificadas anteriormente,3106200,1974-05-22,,,2014-12-31,,2054,,2,,2,16,BAIXADA,RUA,INCORPORACAO,FILIAL
MG,39680000,00236805000139,,,DEMAIS,Z.RURAL,SN,,CAPELINHA,LOC STO ANTONIO FANADO,9430800,,,5,ASSOCIACAO CULTURAL QUILOMBOLA DE SANTO ANTONIO DO FANADO,,0,3335162085,,,,4245,Associação Privada,,,2,,,Atividades de associações de defesa de direitos sociais,3112307,1994-10-11,,,1998-07-28,,3999,,0,,1,16,ATIVA,,SEM MOTIVO,MATRIZ
MG,31250070,28234263000184,,,MICRO EMPRESA,APARECIDA SETIMA SECAO,370,,BELO HORIZONTE,ARGEMIRO RODRIGUES DA SILVA,4530703,,,1,IMPERATRIZ AUTO PECAS E SERVICOS LTDA,,100000,3134281588,,False,,4123,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3106200,2017-07-21,,2017-07-21,2017-07-21,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39900000,09585596000103,,,EMPRESA DE PEQUENO PORTE,PEDRO GOMES,1350,,ALMENARA,EXUPERIO CANGUSSU,4222701,,,3,MS ENGENHARIA CONSTRUCOES LTDA,,1000000,3337214426,,False,,4033,Sociedade Empresária Limitada,,False,2,,,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",3101706,2008-04-25,,2016-01-01,2008-04-25,,2062,2016-01-01,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
GO,74843010,12377872000152,,,DEMAIS,PARQUE AMAZONAS,1.214,,GOIANIA,JOSE LEANDRO DA CRUZ,9001902,,SALA 01 QUADRA122 LOTE 12,5,ADORE EVENTOS LTDA,ADORE PRODUCOES,20000,6232259653,,False,,9373,Sociedade Empresária Limitada,,False,2,,,Produção musical,5208707,2010-08-12,,2022-01-01,2010-08-12,,2062,2022-09-30,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,35860000,33323257000133,,,EMPRESA DE PEQUENO PORTE,BARRO VERMELHO,390,,CONCEICAO DO MATO DENTRO,CORONEL OLAVO FIRMINO,4120400,,,3,CONSTRUTORA ANDRADE XAVIER LTDA,CONSTRUTORA FENIX,500000,3335164425,,False,,4349,Sociedade Empresária Limitada,,True,2,,,Construção de edifícios,3117504,2019-04-11,,2019-04-11,2019-04-11,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,28337562000144,,,DEMAIS,VISTA ALEGRE,925,,CAPELINHA,MG120,9430800,,,5,CONSELHO COMUNITARIO DE SEGURANCA PUBLICA DE CAPELINHA,CONSEPCAP,0,3192436301,,,,4245,Associação Privada,,,2,,,Atividades de associações de defesa de direitos sociais,3112307,2017-05-23,,,2017-05-23,,3999,,0,,1,16,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,30710330000131,,,MICRO EMPRESA,Centro,511,,CAPELINHA,Rua Jose Pimenta figueiredo,8592903,,,1,DANIEL VIEIRA SILVA 08435461661,DANIEL VIEIRA SILVA,900,3899005213,,True,,4245,Empresário (Individual),,True,2,2018-06-15,,Ensino de música,3112307,2018-06-15,,2018-06-15,2018-06-15,,2135,,0,,1,50,ATIVA,11A RUA,SEM MOTIVO,MATRIZ
MG,39680000,40314752000141,,,MICRO EMPRESA,PLANALTO,897,,CAPELINHA,TICO NEVES,4520003,,,1,EUGENIO PEREIRA CORDEIRO,POSITIVO AUTO ELETRICA,20000,3391305445,,False,,4245,Empresário (Individual),,True,2,2021-01-08,2022-12-31,Serviços de manutenção e reparação elétrica de veículos automotores,3112307,2021-01-08,,2021-01-08,2021-01-08,,2135,,0,,1,50,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39401474,01563351000173,,,DEMAIS,ESPLANADA,937,3832136144,MONTES CLAROS,DEPUTADO PLINIO RIBEIRO,4661300,,,5,TRIAMA NORTE TRATORES IMPLEMENTOS AGRICOLAS E MAQUINAS LTDA,,6000000,3836906144,3897440535,,,4865,Sociedade Empresária Limitada,,,2,,,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",3143302,1996-11-14,,,2002-01-19,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,31630901,16907746000113,,,DEMAIS,SERRA VERDE,4001,,BELO HORIZONTE,PAPA JOAO PAULO II,8411600,,ANDAR 7,5,SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS,GABINETE DO SECRETARIO MG,0,3139156228,,,,4123,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,,,2,,,Administração pública em geral,3106200,2012-09-25,,,2012-09-25,,1023,,0,MINAS GERAIS,1,5,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,31630901,17217332000125,,,DEMAIS,SERRA VERDE (VENDA NOVA),4001,3139152598,BELO HORIZONTE,PAPA JOAO PAULO II 4001,8411600,,EDIF GERAIS 3/4 ANDAR,5,INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO MG,,0,3139152554,3139152552,,,4123,Autarquia Estadual ou do Distrito Federal,,,2,,,Administração pública em geral,3106200,1966-12-05,,,2005-11-03,,1112,,0,MINAS GERAIS,1,16,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,12685355000140,,,MICRO EMPRESA,CENTRO,144,,CAPELINHA,DR HERMELINDO,5510801,,,1,HOTEL MUNDO NOVO LTDA,CATUAI PALACE HOTEL,800000,3335164425,3335162257,False,,4245,Sociedade Empresária Limitada,,True,2,,,Hotéis,3112307,2010-10-19,,2010-10-19,2010-10-19,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
DF,70048900,00394460005887,,,DEMAIS,ZONA CIVICO-ADMINISTRATIVA,S/N,,BRASILIA,DOS MINISTERIOS,8411600,,BLOCO P ANDAR 7,5,MINISTERIO DA FAZENDA,RECEITA FEDERAL,0,6134122707,,,,9701,Órgão Público do Poder Executivo Federal,,,2,,,Administração pública em geral,5300108,1977-10-10,,,2004-03-06,,1015,,0,UNIÃO,2,5,ATIVA,ESPLANADA,SEM MOTIVO,FILIAL
MG,39680000,06913068000148,,,MICRO EMPRESA,PLANALT0,135,,CAPELINHA,BR 120,5611201,,KM 49,1,MARCIO ELISEU GOMES PARANHOS,LANCHONETE E CHURRASCARIA CHAPADAO,0,3335161479,,False,,4245,Empresário (Individual),,True,2,,,Restaurantes e similares,3112307,2004-07-29,,2007-07-01,,,2135,,0,,1,50,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,03691012000106,,,EMPRESA DE PEQUENO PORTE,CENTRO,85,,CAPELINHA,RIO BRANCO,4754701,,,3,MOVEIS E ELETRODOMESTICO MULTIMARCAS LTDA,MULTI MARCAS,300000,3335161535,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de móveis,3112307,2000-01-06,,2007-07-01,2005-07-22,,2062,,0,,1,5,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,10608700000117,,,DEMAIS,ZONA RURAL,S/N,3335164216,CAPELINHA,CORREGO DO JOAO,9499500,,,5,ASSOCIACAO DOS CAVALEIROS DE CAPELINHA,ASSOCIACAO DOS CAVALEIROS DE CAPELINHA,0,3335161151,3335161151,,,4245,Associação Privada,,,2,,,Atividades associativas não especificadas anteriormente,3112307,2004-05-27,,,2004-05-27,,3999,,0,,1,16,ATIVA,FAZENDA,SEM MOTIVO,MATRIZ
DF,70390025,14702767000177,,,DEMAIS,ASA SUL,702,,BRASILIA,SEPS 702/902,9412001,,CONJ B ANDAR 2 BLOCO B EDIF GENERAL ALENCASTRO,5,CONSELHO DE ARQUITETURA E URBANISMO DO BRASIL,CAU/BR,0,6132049500,,,,9701,Autarquia Federal,,,2,,,Atividades de fiscalização profissional,5300108,2010-12-31,,,2010-12-31,,1104,,0,UNIÃO,1,16,ATIVA,QUADRA,SEM MOTIVO,MATRIZ
MG,39520000,28898386000110,,,EMPRESA DE PEQUENO PORTE,CENTRO,159,,PORTEIRINHA,SAO VICENTE DE PAULO,4761003,,,3,DURVALINA ALVES GONCALVES,ARTPELL LICITACOES,20000,3838311539,,False,,5043,Empresário (Individual),,True,2,,,Comércio varejista de artigos de papelaria,3152204,2017-10-19,,2017-10-19,2017-10-19,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35501221,18707422000167,,,DEMAIS,BAIRRO SANTA LUZIA,1200,,DIVINOPOLIS,AUTORAMA,4511101,,,5,MARKA VEICULOS E PECAS S/A,MARKA S/A VEICULOS E PECAS,11000000,3732297000,3732297036,,,4445,Sociedade Anônima Fechada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3122306,1974-03-04,,,2005-11-03,,2054,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
DF,70062900,03353358000196,,,DEMAIS,ESPLANADA,S/N,0613225535,BRASILIA,DOS MINISTERIOS,8411600,,BLOCO E,5,MINISTERIO DA INTEGRACAO E DO DESENVOLVIMENTO REGIONAL,MINISTERIO DA INTEGRACAO E DO DESENVOLVIMENTO REGIONAL,0,6120345981,6120345210,,,9701,Órgão Público do Poder Executivo Federal,,,2,,,Administração pública em geral,5300108,1999-08-24,,,1999-08-24,,1015,,0,UNIÃO,1,5,ATIVA,ESPLANADA,SEM MOTIVO,MATRIZ
MG,39680000,14633182000142,,,MICRO EMPRESA,CENTRO,228,,CAPELINHA,GOVERNADOR VALADARES,7112000,,SALA D,1,WILSON ARAUJO ENGENHARIA LTDA,POSITIVO ENGENHARIA,300000,3335164425,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Serviços de engenharia,3112307,2011-11-17,,2020-01-01,2011-11-17,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,31210110,03073842000161,,,MICRO EMPRESA,LAGOINHA,53,3132743398,BELO HORIZONTE,TURVO,4756300,,,1,MUSICAL SERRINHA LTDA,,10000,3132741419,,False,,4123,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de instrumentos musicais e acessórios,3106200,1999-04-05,,2007-07-01,2004-07-24,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,27852525000101,,,MICRO EMPRESA,CENTRO,687,,CAPELINHA,JACINTO JOSE RIBEIRO,8230001,,SALA 6 2? ANDAR,1,AQUILES JUNIO DA CRUZ FREITAS 08048683601,SKILLO PRODUCOES,8000,3391000929,,True,,4245,Empresário (Individual),,True,2,2017-05-30,,"Serviços de organização de feiras, congressos, exposições e festas",3112307,2017-05-30,,2017-05-30,2017-05-30,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,32468363000142,,,MICRO EMPRESA,MARIA LUCIA,1928,,CAPELINHA,ANEL RODOVIARIO,4541206,,,1,32.468.363 JUNIO DE AZEVEDO BARBOSA,JAB SERVICOS GERAIS,6000,3391004342,,True,,4245,Empresário (Individual),,True,2,2019-01-16,,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,3112307,2019-01-16,,2019-01-16,2019-01-16,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30441194,19198118000102,,,DEMAIS,GUTIERREZ,1626,,BELO HORIZONTE,RAJA GABAGLIA,7490103,,,5,EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS - EMATER-MG,EMATER MG,0,3133498090,3133498184,,,4123,Empresa Pública,,,2,,,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,3106200,1976-08-24,,,2005-11-03,,2011,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,41667753000132,,,EMPRESA DE PEQUENO PORTE,CENTRO,228,,CAPELINHA,GOVERNADOR VALADARES,4754701,,LOJA 4,3,BOM VAREJISTA DO BRASIL LTDA,GRUPO BOM VAREJISTA DO BRASIL,300000,3335164440,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de móveis,3112307,2021-04-22,,2021-04-22,2021-04-22,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39400116,37571480000150,,,EMPRESA DE PEQUENO PORTE,TODOS OS SANTOS,25,,MONTES CLAROS,SANTA TEREZINHA,4221903,,SALA 01,3,ZEUS ELETRICA LTDA,ZEUS ELETRICA,1000000,3891057579,,False,,4865,Sociedade Empresária Limitada,,False,2,,,Manutenção de redes de distribuição de energia elétrica,3143302,2020-06-30,,2020-06-30,2020-06-30,,2062,2022-12-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30120016,17309790000194,,,DEMAIS,SANTA EFIGENIA,1120,0312351016,BELO HORIZONTE,DOS ANDRADAS,8411600,,,5,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER-MG,DER - MG,0,3132351370,3132351017,,,4123,Autarquia Estadual ou do Distrito Federal,,,2,,,Administração pública em geral,3106200,1946-05-07,,,2005-11-03,,1112,,0,MINAS GERAIS,1,5,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,20533096000160,,,MICRO EMPRESA,JARDIM AEROPORTO,32,,CAPELINHA,SUECIA,8011101,,,1,FENIX SERVICOS EM SEGURANCA LTDA,FENIX SERVICOS,40000,3335163357,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Atividades de vigilância e segurança privada,3112307,2014-07-01,,2014-07-01,2014-07-01,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
DF,70830010,00703157000183,,,DEMAIS,ASA NORTE,S/N,612016027,BRASILIA,SGAN 601,9430800,,CONJ N,5,CONFEDERACAO NACIONAL DE MUNICIPIOS,CNM,0,5121016000,,,,9701,Associação Privada,,,2,,,Atividades de associações de defesa de direitos sociais,5300108,1983-07-26,,,2005-08-27,,3999,,0,,1,16,ATIVA,QUADRA,SEM MOTIVO,MATRIZ
MG,39400010,17781888000140,,,MICRO EMPRESA,CENTRO,48,,MONTES CLAROS,JUSTINO CAMARA,4763602,,LOJA: 02;,1,CENTRO NORTE COMERCIAL LTDA.,,13000,3832217255,,False,,4865,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de artigos esportivos,3143302,2013-03-20,,2013-03-20,2013-03-20,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,04641376020080,,,DEMAIS,PLANALTO,1255,,CAPELINHA,RIO BRANCO,4711302,,,5,SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A,,14000000,3335164097,3131172600,False,,4245,Sociedade Anônima Fechada,,False,2,,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",3112307,2018-06-08,,2007-07-01,2018-06-08,,2054,2007-07-01,0,,2,10,ATIVA,RUA,SEM MOTIVO,FILIAL
MG,39680000,23206752000109,,,MICRO EMPRESA,CENTRO,20,3335162457,CAPELINHA,JOAO PIMENTA,4743100,,,1,SEBASTIAO PEREIRA DE OLIVEIRA,VIDRACARIA DO LIU,50000,3335162457,,False,,4245,Empresário (Individual),,True,2,,,Comércio varejista de vidros,3112307,2015-09-03,,2015-09-03,2015-09-03,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,00540006000151,,,MICRO EMPRESA,PLANALTO,510,,CAPELINHA,ANEL RODOVIARIO,4530703,,,1,AUTOVALE LTDA,AUTOVALE,60000,3335161203,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3112307,1995-04-11,,2007-07-01,2005-11-03,,2062,,0,,1,49,ATIVA,,SEM MOTIVO,MATRIZ
MG,39680000,04564578000121,,,EMPRESA DE PEQUENO PORTE,MARIA LUCIA,300,3335161579,CAPELINHA,BELO HORIZONTE,4754701,,,3,LOJAS ELETROBOM LTDA,LOJAS ELETROBOM,50000,3391493444,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de móveis,3112307,2001-06-21,,2007-07-01,2005-11-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39660000,02915196000170,,,DEMAIS,PROGRESSO,15,0385271322,TURMALINA,RIO DE JANEIRO,6920601,,,5,HLH ASSESSORIA E CONSULTORIA LTDA,HLH - ASSESSORIA E CONSULTORIA,510000,3835271322,3891500061,,,5393,Sociedade Empresária Limitada,,,2,,,Atividades de contabilidade,3169703,1998-06-10,,,2004-12-24,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,00774518000182,,,EMPRESA DE PEQUENO PORTE,CENTRO,709,,CAPELINHA,DR. HERMELINDO,4744099,,,3,CONSTROI L & J LTDA,CONSTRUVALE MATERIAL DE CONSTRUCAO,40000,,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de materiais de construção em geral,3112307,1995-08-25,,2013-01-01,2005-11-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,08626679000130,,,MICRO EMPRESA,PLANALTO,1021,,CAPELINHA,RIO BRANCO,4742300,,,1,RELUZ ILUMINACAO E MATERIAIS ELETRICOS LTDA,,100000,3335161313,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de material elétrico,3112307,2007-02-05,,2007-07-01,2007-02-05,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,05909575000145,,,MICRO EMPRESA,CENTRO,133,3335164400,CAPELINHA,GOVERNADOR VALADARES,1813099,,SALA 8,1,MARIA J CHAVES,,0,3335164400,3391462042,False,,4245,Empresário (Individual),,True,2,,,Impressão de material para outros usos,3112307,2003-09-23,,2007-07-01,2005-11-03,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30494270,09400465000104,,,EMPRESA DE PEQUENO PORTE,ESTORIL,3382,3133320544,BELO HORIZONTE,BARAO HOMEM DE MELO,6311900,,SALA 202,3,WEBJUR PROCESSAMENTO DE DADOS LTDA,,4000,3132970747,,False,,4123,Sociedade Empresária Limitada,,False,2,,,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",3106200,2008-02-27,,2008-02-27,2008-02-27,,2062,2022-12-31,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,08875121000199,,,MICRO EMPRESA,CENTRO,47,,CAPELINHA,GETULIO VARGAS,4751201,,,1,DANIEL DE FREITAS FERNANDES,STAR INFORMATICA E ELETRONICOS,5000,3335163145,,True,,4245,Empresário (Individual),,True,2,2016-01-01,,Comércio varejista especializado de equipamentos e suprimentos de informática,3112307,2007-05-18,,2007-07-01,2007-05-18,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,23882157000193,,,MICRO EMPRESA,CENTRO,55,,CAPELINHA,DO POVO,4752100,,,1,ARENA ELETRO TELECOM LTDA,VALECELL CELULARES,80000,3335163357,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de equipamentos de telefonia e comunicação,3112307,2015-12-23,,2015-12-23,2015-12-23,,2062,,0,,1,49,ATIVA,PRACA,SEM MOTIVO,MATRIZ
MG,31630900,18715532000170,,,DEMAIS,SERRA VERDE,4143,3132363814,BELO HORIZONTE,PAPA JOAO PAULO II,8422100,,ANDAR 4 EDIFICIO MINAS,5,POLICIA CIVIL DO ESTADO DE MINAS GERAIS,POLICIA CIVIL DO ESTADO DE MINAS GERAIS,0,3139157227,3139157153,,,4123,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,,,2,,,Defesa,3106200,1974-12-31,,,2018-10-11,,1023,,0,MINAS GERAIS,1,5,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,11208259000149,,,MICRO EMPRESA,CENTRO,484,,CAPELINHA,JOAO ALFREDO,4924800,,CASA: A;,1,JOSE AMARO ALVES DE AZEVEDO,TEM EMPREENDIMENTOS,10000,3335161607,,False,,4245,Empresário (Individual),,True,2,,,Transporte escolar,3112307,2009-10-08,,2023-01-01,2009-10-08,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39685000,20209020000184,,,MICRO EMPRESA,JARDIM DO TREVO,45,,ANGELANDIA,IZAURA NUNES RODRIGUES,7739003,,,1,JR PRODUCOES E EVENTOS LTDA,,110000,3134766552,,,,566,Sociedade Empresária Limitada,,,2,,,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",3102852,2014-05-08,,,2014-05-08,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,18943420000177,,,MICRO EMPRESA,PLANALTO,53,3335163357,CAPELINHA,MANOEL DE SOUZA,4520001,,,1,LUIZ APARECIDO LOPES DE OLIVEIRA LTDA,BOCA AUTO MECANICA,70000,3335164338,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Serviços de manutenção e reparação mecânica de veículos automotores,3112307,2013-09-24,,2013-09-24,2013-09-24,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
GO,74810030,39500794000198,,,DEMAIS,JD GOIAS,1470,,GOIANIA,E,9001902,,QUADRAB-29A LOTE 01 ANDAR 16 SALA 1602 EDIF JK,5,TIERRY PRODUCOES ARTISTICAS LTDA,TIERRY PRODUCOES ARTISTICAS,100000,6230953413,6296014581,,,9373,Sociedade Empresária Limitada,,,2,,,Produção musical,5208707,2020-10-21,,,2020-10-21,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,35164161,07633363000103,,,DEMAIS,CANAA,259,,IPATINGA,EZEQUIEL,7112000,,,5,PLANEJAR CONSULTORIA E SERVICOS LTDA,PLANEJAR CONSULTORIA E SERVICOS,200000,3136178444,,False,,4625,Sociedade Simples Limitada,,True,2,,,Serviços de engenharia,3131307,2005-05-24,,2021-01-01,2005-05-24,,2240,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,32145000,17183666000125,,,DEMAIS,KENNEDY,38,,CONTAGEM,DAS AMERICAS,1413401,,GALPAO;,5,CITEROL - COMERCIO E INDUSTRIA DE TECIDOS E ROUPAS S/A,CITEROL,3765000,3132358513,3132358500,,,4371,Sociedade Anônima Fechada,,,2,,,"Confecção de roupas profissionais, exceto sob medida",3118601,1971-07-26,,,2005-04-16,,2054,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39660000,23351840000102,,,MICRO EMPRESA,CAMPO,560 B,,TURMALINA,GOIAS,1412602,,,1,FABIANO ANTUNES 05204928626,ATELIER CRIART,70000,3891513187,,True,,5393,Empresário (Individual),,True,2,2015-09-25,,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",3169703,2015-09-25,,2015-09-25,2015-09-25,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39800970,02789552001551,,,DEMAIS,SAO DIOGO,S/N,,TEOFILO OTONI,BR 116 KM 280,4511101,, PARTE,5,LIDER VEICULOS S. A.,LIDER TEOFILO OTONI,10311558,3335283690,,,,5371,Sociedade Anônima Fechada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3168606,2021-10-06,,,2021-10-06,,2054,,0,,2,10,ATIVA,RODOVIA,SEM MOTIVO,FILIAL
CE,60160196,39415957000134,,,EMPRESA DE PEQUENO PORTE,ALDEOTA,176,,FORTALEZA,DOM LUIS,9001902,, LJ04,3,ZE VAQUEIRO ORIGINAL MUSIC LTDA,ZE VAQUEIRO ORIGINAL,50000,8587769600,,,,1389,Sociedade Empresária Limitada,,,2,,,Produção musical,2304400,2020-10-14,,,2020-10-14,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,34374965000166,,,EMPRESA DE PEQUENO PORTE,VILA OPERARIA,179,,CAPELINHA,SAO JOSE,4120400,,,3,TRIUNFO PRE MOLDADOS E CONSTRUTORA LTDA,TRIUNFO PRE MOLDADOS E CONSTRUTORA,500000,3335164425,3335162257,False,,4245,Sociedade Empresária Limitada,,False,2,,,Construção de edifícios,3112307,2019-07-31,,2019-07-31,2019-07-31,,2062,2021-12-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
